Description,Brand,Model,S/N,Quantity,Remark
Loundspeaker,L-Acoustics,A10 FOCUS,171000-6759,1,
Loundspeaker,L-Acoustics,A10 WIDE,152000-1714,1,
Loundspeaker,L-Acoustics,A10 WIDE,152000-6941,1,
Column speaker,L-Acoustics,SYVA,1350001639,1,
Column speaker,L-Acoustics,SYVA,1350001652,1,
Column speaker,L-Acoustics,SYVA,1350001137,1,
Column speaker,L-Acoustics,SYVA,1350001176,1,
Column speaker,L-Acoustics,SYVA LOW,1360001600,1,
Column speaker,L-Acoustics,SYVA LOW,1360001601,1,
Column speaker,L-Acoustics,SYVA LOW,1360001072,1,
Column speaker,L-Acoustics,SYVA LOW,1360001014,1,
Column speaker,L-Acoustics,112P,8258,1,
Column speaker,L-Acoustics,112P,8285,1,
Column speaker,L-Acoustics,112P,8202,1,
Column speaker,L-Acoustics,112P,8290,1,
Column speaker,L-Acoustics,X12,190032-029,1,
Column speaker,L-Acoustics,X12,190034-503,1,
Column speaker,L-Acoustics,X12,190032-057,1,
Column speaker,L-Acoustics,X12,190032-055,1,
Column speaker,L-Acoustics,X12,190032-067,1,
Column speaker,L-Acoustics,X12,190032-117,1,
Cube Speaker,L-Acoustics,5XT,026003-5344,1,
Cube Speaker,L-Acoustics,5XT,026003-4594,1,
Cube Speaker,L-Acoustics,5XT,026003-4609,1,
Cube Speaker,L-Acoustics,5XT,026003-4607,1,
Cube Speaker,L-Acoustics,5XT,026003-5259,1,
Cube Speaker,L-Acoustics,5XT,026003-4606,1,
Subwoofer,L-Acoustics,SB18,780011667,1,
Subwoofer,L-Acoustics,SB18,780011659,1,
Subwoofer,L-Acoustics,SB18,780011658,1,
Subwoofer,L-Acoustics,SB18,780015701,1,
Subwoofer,L-Acoustics,SB18,780011665,1,
Subwoofer,L-Acoustics,SB18,780013842,1,
Subwoofer,L-Acoustics,SB18,780011666,1,
Subwoofer,L-Acoustics,SB18,780011655,1,
Subwoofer,L-Acoustics,SB18,780011664,1,
Subwoofer,L-Acoustics,SB18,780013840,1,
Subwoofer,L-Acoustics,SB18,780015699,1,
Subwoofer,L-Acoustics,SB18,780011669,1,
Subwoofer,L-Acoustics,SB18,790014517,1,
