Description,Brand,Model,S/N,Quantity,Remark,UOM
Plug 8 output,Plug 8 output,Plug 8 output,,20,,
Plug 12 output,Plug 12 output,Plug 12 output,,20,,
Aluminum Profile size 40x40 mm.,Aluminum Profile size 40x40 mm. 0.32M,,,12,,
Aluminum Profile size 40x40 mm.,Aluminum Profile size 40x40 mm. 0.66M,,,64,,
Aluminum Profile size 40x40 mm.,Aluminum Profile size 40x40 mm. 0.72M,,,732,,
Aluminum Profile size 40x40 mm.,Aluminum Profile size 40x40 mm. 1.0M,,,125,,
Aluminum Profile size 40x40 mm.,Aluminum Profile size 40x40 mm. 1.15M,,,43,,
Aluminum Profile size 40x40 mm.,Aluminum Profile size 40x40 mm. 1.20M,,,24,,
Aluminum Profile size 40x40 mm.,Aluminum Profile size 40x40 mm. 2.00M,,,697,,
Aluminum Profile size 40x90 mm.,Aluminum Profile size 40x90 mm. 0.85M,,,18,,
Aluminum Profile size 40x90 mm.,Aluminum Profile size 40x90 mm. 1.0M,,,6,,
Aluminum Profile size 40x90 mm.,Aluminum Profile size 40x90 mm. 1.50M,,,5,,
Aluminum Profile size 40x90 mm.,Aluminum Profile size 40x90 mm. 2.00M,,,7,,
Aluminum Profile size 35x80 mm.,Aluminum Profile size 35x80 mm. 0.72M,,,5,,
Aluminum Profile size 35x80 mm.,Aluminum Profile size 35x80 mm. 0.85M,,,10,,
Aluminum Profile size 90x90 mm.,Aluminum Profile size 90x90 mm. 0.40M,,,10,,
Aluminum Profile size 90x90 mm.,Aluminum Profile size 90x90 mm. 0.80M,,,89,,
Aluminum Profile size 90x90 mm.,Aluminum Profile size 90x90 mm. 1.00M,,,7,,
Aluminum Profile size 90x90 mm.,Aluminum Profile size 90x90 mm. 1.50M,,,8,,
Aluminum Profile size 90x90 mm.,Aluminum Profile size 90x90 mm. 2.00M,,,45,,
Dolly,Dolly 1.80 M,Dolly 1.80 M,,59,,
Dolly,Dolly 1 M,Dolly 1 M,,10,,
Dolly Car,Dolly Car,Dolly Car,,46,,
Frame 4x8 ft,Frame 4x8 ft,Frame 4x8 ft,,27,,
Water tank,Water tank,Water tank,,125,,
Spanset 1.5m,Spanset 1.5m,Spanset 1.5m,,46,,
Spanset 1.0m,Spanset 1.0m,Spanset 1.0m,,46,,
White sling 1.00m,White sling 1.00m,White sling 1.00m,,13,,
White sling 1.20m,White sling 1.20m,White sling 1.20m,,17,,
White sling 1.50m,White sling 1.50m,White sling 1.50m,,26,,
White sling 2.00m,White sling 2.00m,White sling 2.00m,,20,,
White sling 2.20m,White sling 2.20m,White sling 2.20m,,82,,
Black sling 1.86m,Black sling 1.86m,Black sling 1.86m,,6,,
Black sling 2.06m,Black sling 2.06m,Black sling 2.06m,,6,,
Black sling 2.26m,Black sling 2.26m,Black sling 2.26m,,6,,
Black sling 2.46m,Black sling 2.46m,Black sling 2.46m,,6,,
Black sling 2.66m,Black sling 2.66m,Black sling 2.66m,,6,,
fixed ladder,fixed ladder,fixed ladder,,5,,
Truss Clamps White,Truss Clamps White,Truss Clamps White,,69,white,
Truss Clamps Black,Truss Clamps Black,Truss Clamps Black,,99,black,
Ratchet Strap with Hook,Ratchet Strap with Hook,Ratchet Strap with Hook,,12,,
scaffolding,scaffolding,scaffolding,,18,,
UPS 1000VA,APC,BV1000I MST,9B2153A01892,1,,
UPS 1000VA,APC,BV1000I MST,9B2152A05425,1,,
UPS 1000VA,APC,BV1000I MST,9B2220A07849,1,,
UPS 1000VA,APC,BV1000I MST,9B2220A07875,1,,
UPS 1000VA,APC,BV1000I MST,9B2152A05426,1,,
UPS 1000VA,APC,BV1000I MST,9B2343A30856,1,,
UPS 1000VA,APC,BV1000I MST,9B2343A30849,1,,
UPS 1000VA,APC,BV1000I MST,902220A07883,1,,
UPS 1000VA,APC,BV1000I MST,9B2152A05421,1,,
UPS 1000VA,APC,BV1000I MST,182220A07897,1,,
UPS 1000VA,APC,BV1000I MST,9B2152A05428,1,,
UPS 1000VA,APC,BV1000I MST,9B2152A05423,1,,
UPS 1000VA,APC,BV1000I MST,9B2153A01890,1,,
UPS 1000VA,APC,BV1000I MST,9B2343A30854,1,,
UPS 1000VA,APC,BV1000I MST,9B2343A30857,1,,
UPS 1000VA,APC,BV1000I MST,932152A05421,1,,
UPS APC 800Kva,APC,BV1000I MST,301912x70344,1,,
Computer Alignment PlayBack,Media Server,X400,2JWA03428A0A10000004,1,,
HP OMEN,HP,OMEN,5CD90503K6,1,,
HP OMEN,HP,OMEN,5CD90503LK,1,,
HP OMEN,HP,OMEN,5CD90503LY,1,,
HP OMEN,HP,OMEN,5CD90503KK,1,,
Computer Alignment PlayBack,MSI,KATANA15,K2306N0137690,1,,
Computer Alignment PlayBack,MSI,KATANA15,K2306N0137835,1,,
Computer Alignment PlayBack,MSI,KATANA15,K2306N0137553,1,,
Computer Alignment PlayBack,MSI,KATANA15,K2306N0137779,1,,
Computer Alignment PlayBack,MSI,KATANA15,K2306N0137849,1,,
Computer Alignment PlayBack,MSI,KATANA15,K2306N0137722,1,,
Fan,Fan,Fan,,18,,
Helmet Safety Equipment,,,,18,,
Suit Safety Equipment,,,,6,,
Rope Safety Equipment,,,,2,,
Carabiner Safety Equipment,,,,20,,
Safety Equipment,,,,1,,
